index,Geography,Product,Custom Segment Value,Custom Sub Segment Value,Custom Parent Value,Custom Major Brand Value,Custom Brand Value,Dollar Sales,Dollar Sales Year Ago,Dollar Sales Change vs YA,Dollar Sales % Change vs YA,Unit Sales,Unit Sales Year Ago,Unit Sales Change vs YA,Unit Sales % Change vs YA,ACV Weighted Distribution,ACV Weighted Distribution Year Ago,ACV Weighted Distribution Change vs YA
15,Total US - Multi Outlet,CLIO PLUM BEAUTY IMPLEMENTS EYEBROW SHAPERS 3 CT - 4344502340,FACE,EYEBROW SHAPERS,CLIO DESIGNS,CLIO,CLIO PLUM BEAUTY,87111.88725,49381.24013,37730.64711,0.76406844,15594.5198,8358.918761,7235.601038,0.865614471,1.928699537,2.510308291,-0.581608754
16,Total US - Multi Outlet,CLIO PLUM BEAUTY IMPLEMENTS EYEBROW SHAPERS 3 CT - 4344502725,FACE,EYEBROW SHAPERS,CLIO DESIGNS,CLIO,CLIO PLUM BEAUTY,4066685.289,2986754.642,1079930.647,0.361573271,742039.8528,571664.529,170375.3238,0.298033751,40.58549515,21.00159395,19.58390119
17,Total US - Multi Outlet,CONAIR IMPLEMENTS EYEBROW SHAPERS 1 CT - 7410803332,FACE,EYEBROW SHAPERS,CONAIR CORP,CONAIR,CONAIR,4425.830825,4196.51863,229.3121946,0.054643435,399.8633751,383.2544173,16.60895778,0.043336638,0.062289502,0.174238592,-0.111949091
18,Total US - Multi Outlet,CONAIR SHAPE & TRIM IMPLEMENTS EYEBROW SHAPERS 3 CT - 7410880102,FACE,EYEBROW SHAPERS,CONAIR CORP,CONAIR,CONAIR SHAPE & TRIM,795421.3495,797546.5494,-2125.199877,-0.002664672,233249.8847,259726.0426,-26476.15788,-0.101938788,4.238999306,4.18241531,0.056583996
19,Total US - Multi Outlet,ELITE IMPLEMENTS EYEBROW SHAPERS 3 CT - 6989873624,FACE,EYEBROW SHAPERS,ELITE COSMETICS LTD,ELITE,ELITE,6.345987753,6.35725013,-0.011262378,-0.00177158,1.271741033,1.273998022,-0.002256989,-0.00177158,0.000792,0.000844,-5.22E-05
21,Total US - Multi Outlet,FINISHING TOUCH FLAWLESS BROWS IMPLEMENTS EYEBROW SHAPERS 1 CT - 2260060113,FACE,EYEBROW SHAPERS,CHURCH & DWIGHT CO INC,FINISHING TOUCH,FINISHING TOUCH FLAWLESS BROWS,201486.2608,0,201486.2608,0,13708.02895,0,13708.02895,0,19.22419973,0,19.22419973
22,Total US - Multi Outlet,FINISHING TOUCH FLAWLESS BROWS IMPLEMENTS EYEBROW SHAPERS 1 CT - 5450204433,FACE,EYEBROW SHAPERS,CHURCH & DWIGHT CO INC,FINISHING TOUCH,FINISHING TOUCH FLAWLESS BROWS,40858.11193,145016.3366,-104158.2247,-0.718251661,2084.245162,7351.190809,-5266.945647,-0.716475165,1.823181253,5.068681011,-3.245499759
23,Total US - Multi Outlet,GEM IMPLEMENTS EYEBROW SHAPERS 1 CT - 7203221171,FACE,EYEBROW SHAPERS,PACIFIC WORLD CORP,GEM,GEM,0,73.90894929,-73.90894929,-1,0,30.78527021,-30.78527021,-1,0,0.00575142,-0.00575142
24,Total US - Multi Outlet,GEM IMPLEMENTS EYEBROW SHAPERS 3 CT - 7203222056,FACE,EYEBROW SHAPERS,PACIFIC WORLD CORP,GEM,GEM,366.398052,1503.376558,-1136.978506,-0.756283248,118.3019105,529.8214695,-411.519559,-0.776713634,0.010026298,0.051609652,-0.041583354
27,Total US - Multi Outlet,KISS RED IMPLEMENTS EYEBROW SHAPERS 1 CT - 3150965974,FACE,EYEBROW SHAPERS,"KISS PRODUCTS, INC.",KISS,KISS RED,0,11.7346,-11.7346,-1,0,26.01,-26.01,-1,0,6.67E-05,-6.67E-05
28,Total US - Multi Outlet,L A COLORS IMPLEMENTS EYEBROW SHAPERS 3 CT - 8155576670,FACE,EYEBROW SHAPERS,BEAUTY 21 COSMETICS,L A COLORS,L A COLORS,3553.464644,1441.662534,2111.80211,1.464838033,2433.489115,1090.770981,1342.718134,1.2309808,0.344119986,0.197467728,0.146652258
34,Total US - Multi Outlet,PERSONNA PERFILADOR IMPLEMENTS EYEBROW SHAPERS 3 CT - 2450032175,FACE,EYEBROW SHAPERS,EDGEWELL PERSONAL CARE,PERSONNA,PERSONNA PERFILADOR,166.2582132,1122.010747,-955.7525333,-0.851821194,48.51916015,310.9942096,-262.4750495,-0.843986934,0.061843485,0.356921074,-0.295077589
37,Total US - Multi Outlet,PRIVATE LABEL IMPLEMENTS EYEBROW SHAPERS 1 CT - 669220658,FACE,EYEBROW SHAPERS,PRIVATE LABEL,PRIVATE LABEL,PRIVATE LABEL,2.190280272,5.055512459,-2.865232188,-0.566754055,5.208343148,9.315629959,-4.107286811,-0.440902744,0.00782658,0.010735389,-0.002908809
38,Total US - Multi Outlet,PRIVATE LABEL IMPLEMENTS EYEBROW SHAPERS 2 CT - 492095926,FACE,EYEBROW SHAPERS,PRIVATE LABEL,PRIVATE LABEL,PRIVATE LABEL,29183.8707,30285.69453,-1101.823835,-0.036380999,8323.856574,8574.315311,-250.4587372,-0.029210348,0.756075161,0.787199811,-0.03112465
42,Total US - Multi Outlet,PRIVATE LABEL IMPLEMENTS EYEBROW SHAPERS 3 CT - 483701799,FACE,EYEBROW SHAPERS,PRIVATE LABEL,PRIVATE LABEL,PRIVATE LABEL,1023795.034,1114159.22,-90364.18657,-0.081105272,333789.2917,383438.7897,-49649.498,-0.129484808,1.45670951,1.458169564,-0.001460053
45,Total US - Multi Outlet,PRIVATE LABEL IMPLEMENTS EYEBROW SHAPERS 1 CT - 580419891,FACE,EYEBROW SHAPERS,PACIFIC WORLD CORP,PRIVATE LABEL PWC,PRIVATE LABEL,100.0314443,649.4602046,-549.4287602,-0.845977562,20.24456351,139.210698,-118.9661345,-0.854576094,0.005663572,0.047644674,-0.041981102
46,Total US - Multi Outlet,PRIVATE LABEL IMPLEMENTS EYEBROW SHAPERS 1 CT - 861525193,FACE,EYEBROW SHAPERS,PACIFIC WORLD CORP,PRIVATE LABEL PWC,PRIVATE LABEL,0,14.37,-14.37,-1,0,3,-3,-1,0,6.67E-05,-6.67E-05
47,Total US - Multi Outlet,PRIVATE LABEL IMPLEMENTS EYEBROW SHAPERS 2 CT - 138644140,FACE,EYEBROW SHAPERS,PACIFIC WORLD CORP,PRIVATE LABEL PWC,PRIVATE LABEL,34862.92004,46843.63927,-11980.71923,-0.255759788,6055.91522,8113.498351,-2057.583132,-0.253599994,0.4329907,0.435048249,-0.002057549
48,Total US - Multi Outlet,PRIVATE LABEL IMPLEMENTS EYEBROW SHAPERS 2 CT - 21285242,FACE,EYEBROW SHAPERS,PACIFIC WORLD CORP,PRIVATE LABEL PWC,PRIVATE LABEL,37.17895747,0,37.17895747,0,4.379146934,0,4.379146934,0,0.004535473,0,0.004535473
51,Total US - Multi Outlet,PRIVATE LABEL IMPLEMENTS EYEBROW SHAPERS 3 CT - 1306472521,FACE,EYEBROW SHAPERS,PACIFIC WORLD CORP,PRIVATE LABEL PWC,PRIVATE LABEL,7604.486218,366734.462,-359129.9758,-0.979264326,1343.105257,63722.67012,-62379.56487,-0.978922646,0.829707006,11.08654764,-10.25684064
53,Total US - Multi Outlet,PRIVATE LABEL IMPLEMENTS EYEBROW SHAPERS 3 CT - 246386268,FACE,EYEBROW SHAPERS,PACIFIC WORLD CORP,PRIVATE LABEL PWC,PRIVATE LABEL,4.992943934,10.31561872,-5.322674782,-0.515982117,1.000589967,2.00692904,-1.006339073,-0.501432314,0.000781,0.000366,0.000416
56,Total US - Multi Outlet,PRIVATE LABEL IMPLEMENTS EYEBROW SHAPERS 3 CT - 30457082,FACE,EYEBROW SHAPERS,PACIFIC WORLD CORP,PRIVATE LABEL PWC,PRIVATE LABEL,89.04209191,215.9683318,-126.9262399,-0.587707646,14.06669819,36.22699654,-22.16029835,-0.611706751,0.001262519,0.002762509,-0.00149999
59,Total US - Multi Outlet,PRIVATE LABEL IMPLEMENTS EYEBROW SHAPERS 3 CT - 42478254,FACE,EYEBROW SHAPERS,PACIFIC WORLD CORP,PRIVATE LABEL PWC,PRIVATE LABEL,111398.032,103753.4419,7644.590061,0.073680351,38999.9124,38877.87439,122.0380022,0.003139009,1.441170806,1.383305878,0.057864927
61,Total US - Multi Outlet,PRIVATE LABEL IMPLEMENTS EYEBROW SHAPERS 3 CT - 53259958,FACE,EYEBROW SHAPERS,PACIFIC WORLD CORP,PRIVATE LABEL PWC,PRIVATE LABEL,33108.4479,23185.96074,9922.487162,0.427952384,13379.16397,9446.469368,3932.694604,0.416313699,0.177573817,0.177405055,0.000169
62,Total US - Multi Outlet,PRIVATE LABEL IMPLEMENTS EYEBROW SHAPERS 3 CT - 54618254,FACE,EYEBROW SHAPERS,PACIFIC WORLD CORP,PRIVATE LABEL PWC,PRIVATE LABEL,69681.99523,84959.17027,-15277.17504,-0.179817847,24709.38012,29544.02973,-4834.649613,-0.163642186,0.4329907,0.441510578,-0.008519878
63,Total US - Multi Outlet,PRIVATE LABEL IMPLEMENTS EYEBROW SHAPERS 3 CT - 6183216,FACE,EYEBROW SHAPERS,PACIFIC WORLD CORP,PRIVATE LABEL PWC,PRIVATE LABEL,1008391.115,830834.3896,177556.725,0.213708926,178309.5074,135251.2218,43058.28558,0.318357831,10.93913083,11.4122046,-0.473073771
64,Total US - Multi Outlet,PRIVATE LABEL IMPLEMENTS EYEBROW SHAPERS 3 CT - 642194491,FACE,EYEBROW SHAPERS,PACIFIC WORLD CORP,PRIVATE LABEL PWC,PRIVATE LABEL,41062.00078,78314.71048,-37252.7097,-0.475679594,5168.612836,8269.364444,-3100.751607,-0.374968552,1.946689674,2.246110943,-0.29942127
66,Total US - Multi Outlet,QVS IMPLEMENTS EYEBROW SHAPERS 2 CT - 3829461510,FACE,EYEBROW SHAPERS,QVS GLOBAL,QVS,QVS,4.990379517,15.24833711,-10.25795759,-0.672726312,1.000076056,3.05577898,-2.055702925,-0.672726312,0.000702,0.00132958,-0.000628
68,Total US - Multi Outlet,SALLY HANSEN THE NOW BROW IMPLEMENTS EYEBROW SHAPERS 2 CT - 7528002551,FACE,EYEBROW SHAPERS,COTY BEAUTY,SALLY HANSEN,SALLY HANSEN THE NOW BROW,5083.355535,13258.75181,-8175.396279,-0.616603764,857.7748417,1823.064977,-965.2901356,-0.52948751,0.6671723,0.823591708,-0.156419408
69,Total US - Multi Outlet,SALON PERFECT IMPLEMENTS EYEBROW SHAPERS 3 CT - 7846247534,FACE,EYEBROW SHAPERS,AMERICAN INTERNATIONAL INDUSTRIES,SALON PERFECT,SALON PERFECT,215.979746,183089.493,-182873.5133,-0.99882036,130.053056,64144.37451,-64014.32145,-0.997972495,0.621359411,16.5965233,-15.97516389
71,Total US - Multi Outlet,SCHICK HYDRO SILK TOUCH UP IMPLEMENTS EYEBROW SHAPERS 3 CT - 1545581837,FACE,EYEBROW SHAPERS,EDGEWELL PERSONAL CARE,SCHICK,SCHICK HYDRO SILK TOUCH UP,5117.693949,0,5117.693949,0,852.9259391,0,852.9259391,0,0.043298264,0,0.043298264
74,Total US - Multi Outlet,SIMPLOSOPHY IMPLEMENTS EYEBROW SHAPERS 6 CT - 1783302351,FACE,EYEBROW SHAPERS,DONNAMAX,SIMPLOSOPHY,SIMPLOSOPHY,516.5611252,3644.206929,-3127.645804,-0.858251429,102.4212688,702.8397479,-600.4184791,-0.854275076,0.051188813,0.344741213,-0.2935524
80,Total US - Multi Outlet,TINKLE IMPLEMENTS EYEBROW SHAPERS 6 CT - 5602300911,FACE,EYEBROW SHAPERS,DORCO CO LTD,TINKLE,TINKLE,3348.059444,1118.023593,2230.035851,1.994623249,1025.540253,419.1223891,606.4178636,1.446875374,0.067477629,0.049180086,0.018297543
84,Total US - Multi Outlet,TRIM IMPLEMENTS EYEBROW SHAPERS 1 CT - 7160302596,FACE,EYEBROW SHAPERS,PACIFIC WORLD CORP,TRIM,TRIM,0,15.82,-15.82,-1,0,3,-3,-1,0,0.019380594,-0.019380594
87,Total US - Multi Outlet,TRIM IMPLEMENTS EYEBROW SHAPERS 3 CT - 7160306850,FACE,EYEBROW SHAPERS,PACIFIC WORLD CORP,TRIM,TRIM,23348.93815,20694.36136,2654.576794,0.128275367,8695.69588,8506.014497,189.6813827,0.022299678,0.294810285,0.430627716,-0.135817431
88,Total US - Multi Outlet,TRIM BEAUTY CARE IMPLEMENTS EYEBROW SHAPERS 1 CT - 7160322977,FACE,EYEBROW SHAPERS,PACIFIC WORLD CORP,TRIM,TRIM BEAUTY CARE,137956.8001,286345.4635,-148388.6634,-0.518215521,35781.40695,72800.34332,-37018.93636,-0.508499475,18.09767272,18.91571797,-0.818045241
89,Total US - Multi Outlet,UNIVERSAL RAZOR ABOUT FACE IMPLEMENTS EYEBROW SHAPERS 3 CT - 7569065001,FACE,EYEBROW SHAPERS,UNIVERSAL RAZOR INDUSTRIES,UNIVERSAL RAZOR,UNIVERSAL RAZOR ABOUT FACE,61750.88819,41130.24691,20620.64128,0.501349805,20784.1973,14689.31948,6094.877823,0.414919005,0.649589,0.440948659,0.208640342
90,Total US - Multi Outlet,UNIVERSAL RAZOR NOXZEMA IMPLEMENTS EYEBROW SHAPERS 3 CT - 7569057001,FACE,EYEBROW SHAPERS,UNIVERSAL RAZOR INDUSTRIES,UNIVERSAL RAZOR,UNIVERSAL RAZOR NOXZEMA,7.045480182,66.80885424,-59.76337406,-0.894542718,4.009453058,24.08981681,-20.08036375,-0.833562327,0.000322,0.004810829,-0.004488729
92,Total US - Multi Outlet,PRIVATE LABEL IMPLEMENTS LASH COMB 1 CT - 1141386547,FACE,EYEBROW SHAPERS,PRIVATE LABEL,PRIVATE LABEL,PRIVATE LABEL,162.9603333,1012.10807,-849.1477362,-0.838989197,86.98304188,959.5580729,-872.575031,-0.909350935,0.053979556,0.271278034,-0.217298478
94,Total US - Multi Outlet,ANDREA MODLASH IMPLEMENTS EYELASH CURLER 1 CT - 7846203001,FACE,EYELASH CURLER,AMERICAN INTERNATIONAL INDUSTRIES,ANDREA,ANDREA MODLASH,0,9.032595758,-9.032595758,-1,0,2.284729004,-2.284729004,-1,0,0.00629985,-0.00629985
95,Total US - Multi Outlet,ARDELL IMPLEMENTS EYELASH CURLER 1 CT - 7476475033,FACE,EYELASH CURLER,AMERICAN INTERNATIONAL INDUSTRIES,ARDELL,ARDELL,5427.143434,14897.20287,-9470.059436,-0.635693796,1209.657806,3025.416622,-1815.758817,-0.600168189,0.181186543,0.416725477,-0.235538934
96,Total US - Multi Outlet,ARDELL PROFESSIONAL IMPLEMENTS EYELASH CURLER 1 CT - 7476448301,FACE,EYELASH CURLER,AMERICAN INTERNATIONAL INDUSTRIES,ARDELL,ARDELL PROFESSIONAL,17563.89832,22651.7584,-5087.860078,-0.224612147,5624.256431,6708.978393,-1084.721962,-0.161682137,0.202944284,0.216956879,-0.014012595
101,Total US - Multi Outlet,CHICA IMPLEMENTS EYELASH CURLER 1 CT - 7160319583,FACE,EYELASH CURLER,PACIFIC WORLD CORP,CHICA,CHICA,0,1.296722488,-1.296722488,-1,0,1.045743942,-1.045743942,-1,0,0.003474154,-0.003474154
103,Total US - Multi Outlet,CHICA IMPLEMENTS EYELASH CURLER 1 CT - 7160321894,FACE,EYELASH CURLER,PACIFIC WORLD CORP,CHICA,CHICA,0,8.811945603,-8.811945603,-1,0,4.534979105,-4.534979105,-1,0,0.007292964,-0.007292964
107,Total US - Multi Outlet,CLIO IMPLEMENTS EYELASH CURLER 2 CT - 4344501055,FACE,EYELASH CURLER,CLIO DESIGNS,CLIO,CLIO,0,12.3722283,-12.3722283,-1,0,3.100809097,-3.100809097,-1,0,0.006184134,-0.006184134
109,Total US - Multi Outlet,CONAIR TRUE GLOW IMPLEMENTS EYELASH CURLER 1 CT - 7410839082,FACE,EYELASH CURLER,CONAIR CORP,CONAIR,CONAIR TRUE GLOW,14990.2989,23085.63565,-8095.336752,-0.350665534,1565.029108,2680.947607,-1115.918499,-0.416240323,1.084225947,1.589615803,-0.505389855
111,Total US - Multi Outlet,COVER GIRL MAKE UP MASTERS IMPLEMENTS EYELASH CURLER 1 CT - 2270058085,FACE,EYELASH CURLER,COTY BEAUTY,COVER GIRL,COVER GIRL MAKE UP MASTERS,1800142.639,1682122.881,118019.7583,0.070161199,390239.5208,381631.8935,8607.627236,0.02255479,56.80254212,58.05282031,-1.250278193
113,Total US - Multi Outlet,DANIELLE IMPLEMENTS EYELASH CURLER 1 CT - 6432323017,FACE,EYELASH CURLER,UPPER CANADA SOAP & CANDLE,DANIELLE,DANIELLE,6.03783989,64.93069251,-58.89285262,-0.907011004,2.018919945,16.19367206,-14.17475212,-0.875326613,0.002360355,0.014657468,-0.012297113
117,Total US - Multi Outlet,DENCO IMPLEMENTS EYELASH CURLER 1 CT - 4213749010,FACE,EYELASH CURLER,BELCAM INC,DENCO,DENCO,4759.533891,4827.23008,-67.69618881,-0.014023816,787.9102901,799.8037145,-11.89342439,-0.014870429,0.035044346,0.035277125,-0.000233
118,Total US - Multi Outlet,E L F IMPLEMENTS EYELASH CURLER 1 CT - 0071650341,FACE,EYELASH CURLER,J A COSMETICS USA,E L F,E L F,47.26066018,72.57964721,-25.31898703,-0.348844173,16.00022006,26.01034093,-10.01012087,-0.384851583,0.144247937,0.294136702,-0.149888765
119,Total US - Multi Outlet,E L F IMPLEMENTS EYELASH CURLER 1 CT - 0933270913,FACE,EYELASH CURLER,E L F COSMETICS,E L F,E L F,11.700579,560.1589904,-548.4584114,-0.979112039,7.000771999,242.1832038,-235.1824318,-0.971093074,0.028615211,0.285357066,-0.256741855
124,Total US - Multi Outlet,E L F IMPLEMENTS EYELASH CURLER 2 CT - 0933201705,FACE,EYELASH CURLER,J A COSMETICS USA,E L F,E L F,6260371.757,4716711.923,1543659.834,0.327274563,2094599.452,1587324.084,507275.3676,0.319578952,77.23414553,76.10377815,1.130367375
125,Total US - Multi Outlet,E L F IMPLEMENTS EYELASH CURLER 2 CT - 0933284067,FACE,EYELASH CURLER,J A COSMETICS USA,E L F,E L F,3669427.38,1737371.685,1932055.695,1.112056627,736359.1662,412422.2416,323936.9247,0.785449697,45.76562058,28.08650739,17.67911319
127,Total US - Multi Outlet,ELITE IMPLEMENTS EYELASH CURLER 1 CT - 6989873339,FACE,EYELASH CURLER,ELITE COSMETICS LTD,ELITE,ELITE,3.79,22.58780297,-18.79780297,-0.83221033,1,5.42616713,-4.42616713,-0.815707851,0.000364,0.003369137,-0.003005444
128,Total US - Multi Outlet,GEM IMPLEMENTS EYELASH CURLER 1 CT - 1561077132,FACE,EYELASH CURLER,PACIFIC WORLD CORP,GEM,GEM,223.7289243,221.3396531,2.389271194,0.010794592,98.40630591,102.3362813,-3.92997539,-0.038402562,0.016668532,0.013290777,0.003377754
129,Total US - Multi Outlet,GEM IMPLEMENTS EYELASH CURLER 1 CT - 7203221187,FACE,EYELASH CURLER,PACIFIC WORLD CORP,GEM,GEM,0,6.919583596,-6.919583596,-1,0,2.314242005,-2.314242005,-1,0,0.001027257,-0.001027257
130,Total US - Multi Outlet,GEM IMPLEMENTS EYELASH CURLER 1 CT - 7203222052,FACE,EYELASH CURLER,PACIFIC WORLD CORP,GEM,GEM,437.3551488,1555.052452,-1117.697303,-0.718752156,189.5697271,783.8359656,-594.2662385,-0.758151277,0.028022128,0.120024575,-0.092002447
133,Total US - Multi Outlet,GURUNANDA IMPLEMENTS EYELASH CURLER 1 CT - 1621202956,FACE,EYELASH CURLER,GURUNANDA LLC,GURUNANDA,GURUNANDA,2083.197831,468.2953811,1614.90245,3.448469737,1683.709711,421.5915151,1262.118196,2.993699234,0.011856248,0.006514054,0.005342195
134,Total US - Multi Outlet,HELLO FASHIONISTA IMPLEMENTS EYELASH CURLER 3 CT - 4183850132,FACE,EYELASH CURLER,SIMAN TRIO TRADING LLC,HELLO FASHIONISTA,HELLO FASHIONISTA,39.35041559,101.4654739,-62.11505833,-0.612179256,17.99085498,45.8347888,-27.84393382,-0.60748472,0.0035225,0.009252803,-0.005730302
138,Total US - Multi Outlet,JAPONESQUE IMPLEMENTS EYELASH CURLER 1 CT - 3942859845,FACE,EYELASH CURLER,JAPONESQUE,JAPONESQUE,JAPONESQUE,1595.130817,8015.284785,-6420.153968,-0.800988878,466.4094962,2199.065327,-1732.655831,-0.787905575,0.230543528,0.667242353,-0.436698825
139,Total US - Multi Outlet,JAPONESQUE IMPLEMENTS EYELASH CURLER 1 CT - 3942859956,FACE,EYELASH CURLER,JAPONESQUE,JAPONESQUE,JAPONESQUE,81.94117981,48566.13964,-48484.19846,-0.998312792,18.3833102,20656.08354,-20637.70023,-0.999110029,0.011816348,2.317399411,-2.305583063
140,Total US - Multi Outlet,JAPONESQUE IMPLEMENTS EYELASH CURLER 2 CT - 3942859223,FACE,EYELASH CURLER,JAPONESQUE,JAPONESQUE,JAPONESQUE,1035300.264,1013754.866,21545.39862,0.021253066,103061.6129,115046.423,-11984.81009,-0.104173687,22.70083622,27.89177583,-5.190939617
141,Total US - Multi Outlet,JAPONESQUE IMPLEMENTS EYELASH CURLER 2 CT - 3942859224,FACE,EYELASH CURLER,JAPONESQUE,JAPONESQUE,JAPONESQUE,2076272.783,2137225.988,-60953.20462,-0.028519775,202066.3415,223662.7904,-21596.44891,-0.096558077,52.71610351,54.30731922,-1.591215704
142,Total US - Multi Outlet,JAPONESQUE IMPLEMENTS EYELASH CURLER 2 CT - 3942859225,FACE,EYELASH CURLER,JAPONESQUE,JAPONESQUE,JAPONESQUE,14438.06435,1406150.871,-1391712.806,-0.989732208,2163.560104,207149.134,-204985.5739,-0.989555544,5.522520869,56.56058594,-51.03806507
143,Total US - Multi Outlet,JAPONESQUE IMPLEMENTS EYELASH CURLER 2 CT - 3942851067,FACE,EYELASH CURLER,JAPONESQUE,JAPONESQUE,JAPONESQUE,338555.6605,0,338555.6605,0,37721.34304,0,37721.34304,0,23.90542306,0,23.90542306
144,Total US - Multi Outlet,JAPONESQUE IMPLEMENTS EYELASH CURLER 2 CT - 3942859060,FACE,EYELASH CURLER,JAPONESQUE,JAPONESQUE,JAPONESQUE,13571.2553,0,13571.2553,0,1760.10718,0,1760.10718,0,2.870429754,0,2.870429754
145,Total US - Multi Outlet,JAPONESQUE IMPLEMENTS EYELASH CURLER 2 CT - 3942859241,FACE,EYELASH CURLER,JAPONESQUE,JAPONESQUE,JAPONESQUE,34286.61396,290847.8381,-256561.2241,-0.882114943,2843.698007,25365.90356,-22522.20555,-0.887892895,0.709970902,16.210933,-15.50096209
146,Total US - Multi Outlet,JAPONESQUE IMPLEMENTS EYELASH CURLER 2 CT - 3942859352,FACE,EYELASH CURLER,JAPONESQUE,JAPONESQUE,JAPONESQUE,31920.79071,0,31920.79071,0,3522.973318,0,3522.973318,0,2.485464711,0,2.485464711
147,Total US - Multi Outlet,JAPONESQUE IMPLEMENTS EYELASH CURLER 2 CT - 3942859834,FACE,EYELASH CURLER,JAPONESQUE,JAPONESQUE,JAPONESQUE,4.883421359,1403.285272,-1398.401851,-0.996520008,2.190762997,743.4032838,-741.2125208,-0.997053063,0.003060159,0.228847452,-0.225787293
148,Total US - Multi Outlet,JAPONESQUE IMPLEMENTS EYELASH CURLER 2 CT - 3942859850,FACE,EYELASH CURLER,JAPONESQUE,JAPONESQUE,JAPONESQUE,0,20.92455575,-20.92455575,-1,0,6.022088885,-6.022088885,-1,0,0.017790204,-0.017790204
149,Total US - Multi Outlet,JAPONESQUE IMPLEMENTS EYELASH CURLER 2 CT - 3942859856,FACE,EYELASH CURLER,JAPONESQUE,JAPONESQUE,JAPONESQUE,9.055680335,8555.611294,-8546.555614,-0.998941551,1.207424045,921.9694384,-920.7620144,-0.998690386,0.002369393,0.355788715,-0.353419322
150,Total US - Multi Outlet,JAPONESQUE IMPLEMENTS EYELASH CURLER 2 CT - 3942859968,FACE,EYELASH CURLER,JAPONESQUE,JAPONESQUE,JAPONESQUE,2594521.561,771609.1653,1822912.395,2.362481522,345546.2479,110026.0604,235520.1875,2.140585482,60.96898801,53.26237711,7.706610899
